name,rank,week cap,highest dung+level,chests,completion date,prev week completed,prev week cap dung,completed at:
Drooka,raider,False,,,,False,None,None
Eilá,officer,True,COS+20,1,2018-03-25 12:10:17,True,MOS+16,2018-03-20 20:52:34
Skifi,raider,False,,,,True,EOA+15,2018-03-20 20:25:26
Rhøme,raider,False,,,,False,None,None
Dæth,raider,True,COS+23,0,2018-03-22 22:41:15,Data N/A,Data N/A,Data N/A
Deagan,raider,False,,,,False,None,None
Shanist,raider,False,,,,False,None,None
Napadai,raider,True,COEN+16,2,2018-03-25 14:35:56,True,EOA+16,2018-03-18 15:28:37
Owlbearpig,gm,True,COS+20,1,2018-03-25 12:10:17,Data N/A,Data N/A,Data N/A
Moistman,raider,True,NL+15,3,2018-03-26 09:57:47,True,NL+18,2018-03-20 18:42:43
Randygoat,raider,True,BRH+18,1,2018-03-22 20:40:26,Data N/A,Data N/A,Data N/A
Vurx,raider,True,VOTW+15,2,2018-03-25 13:33:17,True,EOA+18,2018-03-14 23:24:30
Dalatu,officer,True,UPPR+15,3,2018-03-25 14:04:16,True,NL+18,2018-03-20 18:42:43
Walakvafan,raider,True,MOS+21,0,2018-03-22 16:38:19,True,COS+16,2018-03-20 15:17:12
Daddy,raider,True,DHT+15,2,2018-03-21 11:00:20,True,MOS+17,2018-03-19 09:24:33
Rushb,raider,True,MOS+21,0,2018-03-22 16:38:19,True,MOS+17,2018-03-18 00:05:09
Aksandria,raider,True,BRH+18,1,2018-03-22 20:40:26,True,EOA+15,2018-03-18 13:16:33
Agradié,raider,False,,,,True,COEN+19,2018-03-19 09:01:52
Wallaboop,raider,False,,,,False,None,None
Equalism,raider,True,HOV+15,3,2018-03-24 20:58:31,True,COEN+15,2018-03-19 22:08:08
Morthrang,trial,True,COS+17,1,2018-03-25 00:37:35,True,COS+16,2018-03-20 15:17:12
Kuard,trial,True,HOV+16,2,2018-03-21 15:36:59,True,BRH+15,2018-03-19 20:56:06
Qulmi,trial,True,HOV+16,2,2018-03-21 15:36:59,True,UPPR+15,2018-03-19 19:31:16
